uni_name
3 Полтавський національний педагогічний університет імені В.Г. Короленка
"17 Державний вищий навчальний заклад ""Донбаський державний педагогічний університет"""
19 Маріупольський державний університет
33 Сумський державний педагогічний університет імені А.С. Макаренка
40 Рівненський державний гуманітарний університет
44 Східноєвропейський національний університет імені Лесі Українки
48 Херсонський державний університет
55 ЦЕНТРАЛЬНОУКРАЇНСЬКИЙ ДЕРЖАВНИЙ ПЕДАГОГІЧНИЙ УНІВЕРСИТЕТ ІМЕНІ ВОЛОДИМИРА ВИННИЧЕНКА
57 Харківський національний педагогічний університет імені Г.С. Сковороди
61 Чернівецький національний університет імені Юрія Федьковича
83 Дрогобицький державний педагогічний університет імені Івана Франка
84 Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»
88 Уманський державний педагогічний університет імені Павла Тичини
89 Ізмаїльський державний гуманітарний університет
96 Тернопільський національний педагогічний університет імені Володимира Гнатюка
101 Черкаський національний університет імені Богдана Хмельницького
103 Мукачівський державний університет
109 Житомирський державний університет імені Івана Франка
155 Ніжинський державний університет імені Миколи Гоголя
158 Чернігівський національний педагогічний університет імені Т.Г. Шевченка
178 Кам'янець-Подільський національний університет імені Івана Огієнка
194 Національний педагогічний університет імені М.П. Драгоманова
252 Вінницький державний педагогічний університет імені Михайла Коцюбинського
261 Миколаївський національний університет імені В.О. Сухомлинського
282 Львівський національний університет імені Івана Франка
"340 Державний вищий навчальний заклад ""Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди"""
"341 Державний вищий навчальний заклад ""Прикарпатський національний університет імені Василя Стефаника"""
1311 Глухівський національний педагогічний університет імені Олександра Довженка
"3781 Державний вищий навчальний заклад ""Криворізький державний педагогічний університет"""
112 Хмельницька гуманітарно-педагогічна академія
"1082 Комунальний вищий навчальний заклад ""Уманський гуманітарно-педагогічний коледж ім.Т.Г.Шевченка"""
"272 Комунальний заклад ""Харківська гуманітарно-педагогічна академія"" Харківської обласної ради"
56 Київський університет імені Бориса Грінченка
593 Кременчуцький педагогічний коледж імені А.С. Макаренка
624 Луцький педагогічний коледж
330 Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка
"81 Державний заклад ""Луганський національний університет імені Тараса Шевченка"""
416 Вінницький обласний комунальний гуманітарно-педагогічний коледж
21 Східноукраїнський національний університет імені Володимира Даля
41 Київський національний університет імені Тараса Шевченка
111 Дніпровський національний університет імені Олеся Гончара
138 Хмельницький національний університет
193 Бердянський державний педагогічний університет
"207 Державний вищий навчальний заклад ""Ужгородський національний університет"""
