Amount of features,MSE,Rate,Depth
5.0,57.741324545481376,0.01,6.0
6.0,52.395201983394365,0.05,6.0
7.0,47.17480543918812,0.1,5.0
8.0,43.70932103033482,0.1,7.0
9.0,42.733638188274796,0.05,7.0
10.0,38.028139177119435,0.05,6.0
11.0,39.540493772339914,0.05,6.0
12.0,38.937964765402775,0.05,6.0
13.0,39.376171034769555,0.01,6.0
