spec_full$smooth_mean
12 Дошкільна освіта$15.66793943991842
13 Початкова освіта$19.161325099989632
14 Середня освіта Українська мова і література$16.293017288489903
14 Середня освіта Історія$16.74263999153575
14 Середня освіта Математика$12.081228725208794
14 Середня освіта Біологія та здоров’я людини$11.755456271650493
14 Середня освіта Хімія$7.6323366969627715
14 Середня освіта Географія$11.031463165387905
14 Середня освіта Фізика$5.436624181438342
14 Середня освіта Інформатика$8.802250793196022
14 Середня освіта Трудове навчання та технології$7.617411323828444
14 Середня освіта Фізична культура$11.703454626198205
14 Середня освіта Образотворче мистецтво$9.63036797103346
14 Середня освіта Музичне мистецтво$7.150239981108778
14 Середня освіта Природничі науки$9.12948302678868
15 Професійна освіта Будівництво$14.48093695664367
15 Професійна освіта Видавничо-поліграфічна справа$16.561093116084283
15 Професійна освіта Деревообробка$12.795819837063211
15 Професійна освіта Документознавство$10.7974275920389
15 Професійна освіта Електроніка, радіотехніка та телекомунікації$15.052365528072242
15 Професійна освіта Енергетика$11.929617632945076
15 Професійна освіта Зварювання$15.195222670929384
15 Професійна освіта Комп’ютерні технології$11.033330699914773
15 Професійна освіта Машинобудування$10.863879891375475
15 Професійна освіта Металургія$16.227759782750947
15 Професійна освіта Нафтогазова справа$15.766651242357955
15 Професійна освіта Охорона праці$9.021562276265042
15 Професійна освіта Сфера обслуговування$8.562116304386622
15 Професійна освіта Технологія виробів легкої промисловості$6.534662347860229
15 Професійна освіта Технологія виробництва і переробки продуктів сільського господарства$10.49110391310038
15 Професійна освіта Транспорт$6.598606612354405
15 Професійна освіта Харчові технології$10.024437246433713
27 Музеєзнавство, пам’яткознавство$9.326948057372462
28 Менеджмент соціокультурної діяльності$14.98944264494176
29 Інформаційна, бібліотечна та архівна справа$12.711832793482529
31 Релігієзнавство$8.433326982147394
32 Історія та археологія$28.38745980331669
33 Філософія$9.385222254603152
34 Культурологія$8.353560330739365
35 Філологія українська мова та література$20.956832793482526
35 Філологія кримськотатарська мова та література$11.526182764036122
35 Філологія слов’янські мови та літератури (переклад включно), перша - білоруська$16.727759782750947
35 Філологія слов’янські мови та літератури (переклад включно), перша - болгарська$14.766651242357955
35 Філологія слов’янські мови та літератури (переклад включно), перша - польська$6.7936907755812355
35 Філологія слов’янські мови та літератури (переклад включно), перша - російська$7.744867642173296
35 Філологія слов’янські мови та літератури (переклад включно), перша - сербська$13.545819837063211
35 Філологія слов’янські мови та літератури (переклад включно), перша - словацька$11.73665586965057
35 Філологія слов’янські мови та літератури (переклад включно), перша - хорватська$13.795819837063211
35 Філологія слов’янські мови та літератури (переклад включно), перша - чеська$9.147909918531607
35 Філологія германські мови та літератури (переклад включно), перша - англійська$16.603180741479278
35 Філологія германські мови та літератури (переклад включно), перша - нідерландська$17.227759782750947
35 Філологія германські мови та літератури (переклад включно), перша - німецька$11.840637790363091
35 Філологія германські мови та літератури (переклад включно), перша - шведська$13.920819837063211
35 Філологія романські мови та літератури (переклад включно), перша - іспанська$12.073954959265803
35 Філологія романські мови та літератури (переклад включно), перша - італійська$10.147909918531607
35 Філологія романські мови та літератури (переклад включно), перша - португальська$14.170819837063211
35 Філологія романські мови та літератури (переклад включно), перша - французька$10.781058152193312
35 Філологія східні мови та літератури (переклад включно), перша - арабська$9.808766247184511
35 Філологія східні мови та літератури (переклад включно), перша - в’єтнамська$13.670819837063211
35 Філологія східні мови та літератури (переклад включно), перша - ґінді$12.03665586965057
35 Філологія східні мови та літератури (переклад включно), перша - індонезійська$13.545819837063211
35 Філологія східні мови та літератури (переклад включно), перша - китайська$9.094662347860229
35 Філологія східні мови та літератури (переклад включно), перша - корейська$11.942414426955064
35 Філологія східні мови та літератури (переклад включно), перша - перська$11.033323517864154
35 Філологія східні мови та літератури (переклад включно), перша - турецька$9.88332562117898
35 Філологія східні мови та літератури (переклад включно), перша - японська$10.315679923323865
35 Філологія угро-фінські мови та літератури (переклад включно), перша - угорська$13.670819837063211
35 Філологія класичні мови та літератури (переклад включно)$10.080385805676807
35 Філологія новогрецька мова і література (переклад включно)$11.215141699682336
35 Філологія фольклористика$11.29110391310038
35 Філологія прикладна лінгвістика$10.45787780633187
51 Економіка$24.688481781363862
52 Політологія$7.147220936863162
53 Психологія$9.41793396815917
54 Соціологія$12.411903660168425
61 Журналістика$12.910490145667541
71 Облік і оподаткування$6.0510186871102745
72 Фінанси, банківська справа та страхування$10.903483512343243
73 Менеджмент$12.602921677403092
75 Маркетинг$7.854256952979635
76 Підприємництво, торгівля та біржова діяльність$6.45558681447871
81 Право$57.164486535957785
91 Біологія$27.666899011863677
101 Екологія$9.1157242859581
102 Хімія$22.23407879624258
103 Науки про Землю$18.03216837858736
104 Фізика та астрономія$24.955642194460676
105 Прикладна фізика та наноматеріали$40.27663725381628
106 Географія$22.596326768614457
111 Математика$30.56640125949608
112 Статистика$15.42712927201176
113 Прикладна математика$30.933123010669846
121 Інженерія програмного забезпечення$31.694755514432124
122 Комп'ютерні науки$46.661422632556715
123 Комп’ютерна інженерія$30.212884186275573
124 Системний аналіз$19.77475410806254
125 Кібербезпека$29.574755475717595
126 Інформаційні системи та технології$12.314085673214535
131 Прикладна механіка$22.10235140704449
132 Матеріалознавство$10.441281220742352
133 Галузеве машинобудування$17.560646859360055
134 Авіаційна та ракетно-космічна техніка$41.941396108008156
135 Суднобудування$18.0438251610464
136 Металургія$12.00469947046802
141 Електроенергетика, електротехніка та електромеханіка$27.4058044115457
142 Енергетичне машинобудування$9.912120319805833
143 Атомна енергетика$20.655948524875203
144 Теплоенергетика$8.049506264476365
145 Гідроенергетика$8.210409918531607
151 Автоматизація та комп’ютерно-інтегровані технології$23.199896145020205
152 Метрологія та інформаційно-вимірювальна техніка$11.35720963614543
153 Мікро- та наносистемна техніка$14.960072073587975
161 Хімічні технології та інженерія$28.553767646506543
162 Біотехнології та біоінженерія$17.002656222438446
163 Біомедична інженерія$10.77214463967816
171 Електроніка$17.202932469572048
172 Телекомунікації та радіотехніка$43.31245902279857
173 Авіоніка$13.822478109221061
181 Харчові технології$28.85063881621388
182 Технології легкої промисловості$24.854788030994317
183 Технології захисту навколишнього середовища$6.331319185882588
184 Гірництво$24.174176883049377
185 Нафтогазова інженерія та технології$42.082562441484704
186 Видавництво та поліграфія$16.674900690547126
187 Деревообробні та меблеві технології$15.292704959265803
