Орган управління$smooth_mean
Міністерство освіти і науки України$19.390827946283977
Міністерство культури України$19.49822078262008
Міністерство охорони здоров`я України$11.874708920569162
Міністерство фінансів України$12.752988684525787
Без підпорядкування$4.690571299964704
Міністерство культури та інформаційної політики України$5.74555195655019
Державна служба статистики України$12.1518398551673
