Amount of features,MSE,Rate,Depth,Eta,Gamma,Lambda,Alpha
4.0,82.53768935154753,0.05,6.0,0.1,0.0,1.0,0.04
5.0,66.55310765546625,0.15,6.0,0.1,0.0,2.0,0.04
6.0,64.81633416953586,0.05,7.0,0.1,0.0,1.0,0.0
7.0,51.55728855136054,0.15,5.0,0.1,0.0,0.0,0.1
