Amount of features,MSE,Rate,Depth
1.0,419.1670800850028,0.01,4.0
2.0,295.14172520532,0.01,4.0
3.0,259.44634004298496,0.01,5.0
4.0,85.54855295218087,0.05,5.0
5.0,67.27604532764119,0.1,7.0
6.0,53.966652864745015,0.15,6.0
7.0,53.33204855121101,0.15,6.0
8.0,53.19361161908411,0.05,6.0
9.0,57.34078494118799,0.15,6.0
10.0,57.14055267215447,0.05,5.0
11.0,54.28924293573596,0.05,5.0
12.0,60.528646247412496,0.05,6.0
13.0,57.19852090219796,0.05,5.0
