Amount of features,MSE,Rate,Depth,Eta,Gamma,Lambda,Alpha
4.0,78.83063975417573,0.15,5.0,0.1,0.0,2.0,0.0
5.0,64.29089324880185,0.15,6.0,0.1,0.0,1.0,0.1
6.0,63.04603637037761,0.15,7.0,0.1,0.0,2.0,0.0
7.0,50.15804638833622,0.1,6.0,0.1,0.0,1.0,0.0
8.0,50.51886077947179,0.1,6.0,0.1,0.0,1.0,0.04
