uni_code,form,Орган управління,Усього подано заяв,Подано заяв на бюджет,Допущено до конкурсу,Середній пріоритет допущених,Середній пріоритет рекомендованих,Суперобсяг,Рекомендовано за співбесідою,Рекомендовано за квотою-2,УСЬОГО,Середній пріорітет рекомендованих на загальних підставах,квота-1,Мін. Бал (на загальних підставах),Сер. Бал (на загальних підставах),Макс. Бал (на загальних підставах),Рік,Макс. обсяг держзамовлення,СЕР,МІН,МАКС,Ліцензійний обсяг,Регіональний коефіцієнт,spec_full
10.255181165516856,1,19.390827946283977,373,315,310,2.95483870967742,2.76190476190476,525,0,0,21,2.55,1,159.285,164.8572,174.267,17.6960669109828,21.0,144.8,113.4,190.9,50.0,1.04,15.66793943991842
6.8189324695720455,1,19.390827946283977,222,194,192,2.90104166666667,2.0,525,0,0,13,2.08333333333333,1,161.348,169.566,182.564,17.6960669109828,13.0,145.1,117.3,185.8,30.0,1.07,15.66793943991842
9.035306307213853,1,19.390827946283977,499,435,429,3.0955710955711,2.62857142857143,525,0,0,35,2.78125,3,165.444,170.65071875,185.399,17.6960669109828,35.0,149.5,110.8,194.2,95.0,1.0,15.66793943991842
9.752988133436228,1,19.390827946283977,369,340,336,3.01190476190476,1.84,525,0,0,25,1.8695652173913,2,170.053,176.351347826087,194.243,17.6960669109828,25.0,152.0,111.2,197.0,50.0,1.0,15.66793943991842
6.771794116758781,1,19.390827946283977,208,177,173,2.71676300578035,2.25714285714286,525,0,0,35,2.29411764705882,1,151.996,159.607794117647,172.38,17.6960669109828,35.0,144.9,111.9,192.2,50.0,1.0,15.66793943991842
9.137534106693325,1,19.390827946283977,212,184,183,2.89071038251366,1.84615384615385,525,0,0,13,1.91666666666667,1,165.152,171.279,187.72,17.6960669109828,13.0,148.4,110.4,190.9,50.0,1.0,15.66793943991842
14.882519008493972,1,19.390827946283977,558,459,453,2.96688741721854,1.90909090909091,525,0,0,22,2.0,2,167.484,173.67915,189.21,17.6960669109828,22.0,145.1,109.5,189.2,100.0,1.07,15.66793943991842
13.990362224659165,1,19.390827946283977,296,207,205,3.28780487804878,1.83333333333333,525,0,0,6,2.0,1,170.626,174.7118,182.274,17.6960669109828,6.0,148.2,113.9,195.1,25.0,1.0,15.66793943991842
10.605781211188834,1,19.390827946283977,337,276,268,3.37313432835821,2.38888888888889,525,0,0,18,2.47058823529412,1,168.504,175.045529411765,185.711,17.6960669109828,18.0,148.3,111.1,193.0,30.0,1.0,15.66793943991842
12.988269605490846,1,19.390827946283977,393,302,298,2.8255033557047,1.75,525,0,0,20,1.83333333333333,2,161.772,169.779111111111,196.146,17.6960669109828,20.0,142.9,109.3,196.1,90.0,1.04,15.66793943991842
8.701864046828712,1,19.390827946283977,312,262,260,3.15,2.15,525,0,0,20,2.27777777777778,2,158.202,162.584111111111,169.377,17.6960669109828,20.0,141.9,111.1,179.1,125.0,1.0,15.66793943991842
5.717350119130215,1,19.390827946283977,94,79,77,2.55844155844156,1.88888888888889,525,0,0,9,2.0,1,151.113,161.051875,180.874,17.6960669109828,12.0,139.7,111.5,195.6,15.0,1.04,15.66793943991842
8.835683068567345,1,19.390827946283977,358,303,295,3.32542372881356,3.0,525,0,0,10,3.0,0,170.034,174.5832,184.775,17.6960669109828,10.0,150.0,115.2,195.4,30.0,1.0,15.66793943991842
7.351302710685209,1,19.390827946283977,217,175,173,2.99421965317919,1.91666666666667,525,0,0,12,2.0,1,151.378,164.433272727273,180.665,17.6960669109828,7.0,147.9,116.4,189.6,36.0,1.0,15.66793943991842
7.351302710685209,1,19.390827946283977,217,175,173,2.99421965317919,1.91666666666667,525,0,0,12,2.0,1,151.378,164.433272727273,180.665,17.6960669109828,7.0,149.1,123.9,186.0,13.0,1.0,15.66793943991842
7.351147563732857,1,19.390827946283977,128,94,92,2.82608695652174,2.45454545454545,525,0,0,11,2.45454545454545,0,162.094,168.167,173.435,17.6960669109828,11.0,146.1,114.3,183.5,35.0,1.0,15.66793943991842
13.15532332428129,1,19.390827946283977,393,336,322,3.0527950310559,1.68421052631579,525,0,0,19,1.72222222222222,1,169.104,172.506388888889,178.533,17.6960669109828,19.0,151.4,113.4,189.0,40.0,1.0,15.66793943991842
5.178932469572045,1,19.390827946283977,141,133,132,3.31818181818182,2.9,525,0,0,10,3.0,1,162.656,167.666,176.384,17.6960669109828,10.0,147.7,113.5,186.4,50.0,1.07,15.66793943991842
8.354694075327505,1,19.390827946283977,196,166,165,2.78787878787879,1.92857142857143,525,0,0,14,2.0,1,164.112,171.219384615385,186.383,17.6960669109828,13.0,145.5,113.5,193.0,40.0,1.07,15.66793943991842
8.972473929518983,1,19.390827946283977,242,190,188,3.57978723404255,3.0,525,0,0,20,3.0,0,165.672,171.884,183.731,17.6960669109828,20.0,153.8,115.7,192.5,35.0,1.0,15.66793943991842
9.496630631364393,1,19.390827946283977,684,572,563,3.42095914742451,2.09090909090909,525,0,0,11,2.2,1,170.2,177.479,183.2,17.6960669109828,11.0,145.5,107.2,191.9,167.0,1.0,15.66793943991842
14.323176239816451,1,19.390827946283977,575,459,450,3.00222222222222,1.96774193548387,525,0,0,31,2.03448275862069,2,167.331,172.460827586207,180.405,17.6960669109828,31.0,148.5,108.4,190.8,87.0,1.0,15.66793943991842
7.790635490971973,1,19.390827946283977,268,219,213,2.81220657276995,1.42857142857143,525,0,0,14,1.46153846153846,1,164.112,168.741461538462,178.427,17.6960669109828,14.0,146.0,110.3,187.8,80.0,1.07,15.66793943991842
